x,y,classes
-2.5783726902726505,-0.18489866794105447,C
-0.5234263030225956,-2.43319563062143,C
0.7108569537189028,-1.1134411136071078,S
1.8051692934671346,-1.9085323466303887,C
1.7813960159937732,2.0065921724009397,C
0.7217575766207445,-1.5045166403343215,S
-1.1053405993855987,-1.0369612783356905,S
2.2101207802888223,0.9913083701038271,C
-0.972640090730134,-2.135770250553431,C
-2.468730865916285,-0.16074062668350544,C
-0.8704993025709482,1.0234533853230852,L
-0.4246047434231069,-1.4462841599809728,S
1.6502964939264637,1.6711255368393696,C
2.2523706446307474,0.4646531876465241,C
2.4832165158958364,0.04963198453889628,C
1.4959635828838456,2.0579772822652798,C
0.44146038995983494,-1.4659395365007468,S
-2.5326844777919324,0.22806884947538833,C
1.4729689225534603,-2.1770843770296673,C
0.7281132701792488,-1.2051604773791023,S
-2.2574128933879587,0.3277939793458115,C
2.2247335900709,-1.0369544366684438,C
-2.0631645273252235,-1.55350272670812,C
0.3991548025971379,-1.3585585636635358,S
1.581167310468951,2.035413419182597,C
-2.2651815783858833,-1.1993422721487248,C
-1.045694938865665,-2.262673214115663,C
1.1831858573716876,-2.0755076898653213,C
-0.09670671721037086,2.588899960880368,C
-0.3105041895759628,-2.6063608902972955,C
-0.10225561764509314,-2.5516474562611258,C
-2.1295028296752414,1.5507020977615387,C
-2.088741836936636,1.1047080736388786,C
-1.0249239779414747,2.231918804145881,C
1.9916555836880918,-1.4903792285459394,C
-0.802082826924021,-2.388726319199069,C
2.4764148661541774,0.2705881190555317,C
1.9431473573614573,1.3704559499558697,C
1.1027195196172601,0.8938659832466184,R
-0.4792058715651638,-1.532843722101291,S
0.2737971451832566,-1.502767443205343,S
1.9013015418900368,-1.7485800400694234,C
0.5953982557728348,-1.324196350706895,S
1.4514838429091839,2.1900415006050635,C
0.08230216953260397,-1.479569405472782,S
0.6700207141022477,-1.3589316921906276,S
1.4981403857539848,2.2627231809802923,C
-0.976446780056607,0.8785405900355424,L
1.0309289386374352,1.0395447279662475,R
-1.911068415969113,1.642639301812835,C
-0.7389258866789151,-1.428206728423192,S
-0.35014160149705864,2.423541672301425,C
1.256913331662747,-2.149960134285536,C
-0.98792560617874,0.9637050104279992,L
2.290002821744824,1.0683016339962885,C
0.20112449232134694,-2.516470693042789,C
0.5174871474498705,-1.2512432976737002,S
-0.2017005634931271,-1.3942556235331096,S
2.531739678530953,-0.5102293446459365,C
-0.6967110290753282,-2.431875177102012,C
2.505061640841142,0.08352978413179088,C
-0.5912839862255148,-1.4276681572471086,S
